2023-02-21 00:31:48.598 [restartedMain] INFO  com.chy.yygh.hosp.ServiceHospApplication - Starting ServiceHospApplication on LAPTOP-P9HIVC5F with PID 25020 (started by hp in E:\崔洪源\1.java\项目\代码\Microservice-learning-01-shangyitong)
2023-02-21 00:31:48.602 [restartedMain] INFO  com.chy.yygh.hosp.ServiceHospApplication - The following profiles are active: dev
2023-02-21 00:31:48.655 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in D:\Maven\apache-maven-3.8.2\localRepository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2023-02-21 00:31:48.655 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in D:\Maven\apache-maven-3.8.2\localRepository\com\sun\xml\bind\jaxb-impl\2.1\jaxb-impl-2.1.jar referenced one or more files that do not exist: file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jaxb-api.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/activation.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jsr173_1.0_api.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jaxb1-impl.jar
2023-02-21 00:31:48.656 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-21 00:31:48.656 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-21 00:31:49.742 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-02-21 00:31:49.742 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2023-02-21 00:31:49.801 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55ms. Found 2 repository interfaces.
2023-02-21 00:31:49.817 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-02-21 00:31:49.818 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
